,OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
0,CNA US 08/17/18 C28 Equity,12/18/2017,,52.65000153,21.0,5265.000153,25.4,83.45
1,CNA US 08/17/18 C28 Equity,12/19/2017,,52.61000061,20.60000038,5261.000061,25.5,84.9
2,CNA US 08/17/18 C28 Equity,12/20/2017,,52.51750183,22.5,5251.750183,22.8,44.25
3,CNA US 08/17/18 C28 Equity,12/21/2017,,52.38999939,22.29999924,5238.999939,22.71,45.29
4,CNA US 08/17/18 C28 Equity,12/22/2017,,52.18999863,22.10000038,5218.999863,22.5,45.23
5,CNA US 08/17/18 C28 Equity,12/25/2017,,52.18999863,22.10000038,5218.999863,22.5,45.23
6,CNA US 08/17/18 C28 Equity,12/26/2017,,52.52000046,22.29999924,5252.000046,22.8,45.34
7,CNA US 08/17/18 C28 Equity,12/27/2017,,52.77999878,20.5,5277.999878,23.0,43.68
8,CNA US 08/17/18 C28 Equity,12/28/2017,,52.93999863,22.89999962,5293.999863,23.11,41.82
9,CNA US 08/17/18 C28 Equity,12/29/2017,,53.15999985,23.10000038,5315.9999849999995,23.3,40.99
10,CNA US 08/17/18 C28 Equity,1/1/2018,,53.15999985,23.10000038,5315.9999849999995,23.3,40.99
11,CNA US 08/17/18 C28 Equity,1/2/2018,,52.47000122,22.39999962,5247.000122,22.71,45.2
12,CNA US 08/17/18 C28 Equity,1/3/2018,,52.68000031,22.60000038,5268.000031,22.9,45.5
13,CNA US 08/17/18 C28 Equity,1/4/2018,,53.06000137,23.0,5306.000137,23.21,42.14
14,CNA US 08/17/18 C28 Equity,1/5/2018,,53.04000092,22.89999962,5304.000091999999,23.3,47.61
15,CNA US 08/17/18 C28 Equity,1/8/2018,,52.81000137,22.70000076,5281.000137,23.0,45.34
16,CNA US 08/17/18 C28 Equity,1/9/2018,,52.99000168,21.70000076,5299.000168,23.11,41.26
17,CNA US 08/17/18 C28 Equity,1/10/2018,,52.79000092,22.70000076,5279.000091999999,23.0,46.36
18,CNA US 08/17/18 C28 Equity,1/11/2018,,53.01010132,22.79999924,5301.010131999999,23.21,45.88
19,CNA US 08/17/18 C28 Equity,1/12/2018,,53.75,23.60000038,5375.0,24.0,49.05
20,CNA US 08/17/18 C28 Equity,1/15/2018,,53.75,23.60000038,5375.0,24.0,49.05
21,CNA US 08/17/18 C28 Equity,1/16/2018,,52.93999863,21.0,5293.999863,23.21,48.96
22,CNA US 08/17/18 C28 Equity,1/17/2018,,53.52999878,23.39999962,5352.999878,23.71,46.39
23,CNA US 08/17/18 C28 Equity,1/18/2018,,53.88499832,21.39999962,5388.499832,24.11,49.01
24,CNA US 08/17/18 C28 Equity,1/19/2018,,53.95999908,23.89999962,5395.999908000001,24.11,46.11
25,CNA US 08/17/18 C28 Equity,1/22/2018,,54.38000107,24.20000076,5438.000107,24.61,50.96
26,CNA US 08/17/18 C28 Equity,1/23/2018,,54.99000168,24.60000038,5499.000168,25.21,50.9
27,CNA US 08/17/18 C28 Equity,1/24/2018,,54.74000168,24.60000038,5474.000168,24.9,48.9
28,CNA US 08/17/18 C28 Equity,1/25/2018,,54.75,24.60000038,5475.0,24.9,49.04
29,CNA US 08/17/18 C28 Equity,1/26/2018,,55.02999878,24.60000038,5502.999878,25.21,50.53
30,CNA US 08/17/18 C28 Equity,1/29/2018,,54.43000031,24.39999962,5443.000031,24.61,50.56
31,CNA US 08/17/18 C28 Equity,1/30/2018,,54.33000183,24.39999962,5433.000183,24.5,50.62
32,CNA US 08/17/18 C28 Equity,1/31/2018,,54.13999939,24.29999924,5413.999939,24.3,49.97
33,CNA US 08/17/18 C28 Equity,2/1/2018,,54.10499954,23.79999924,5410.499954,24.4,54.53
34,CNA US 08/17/18 C28 Equity,2/2/2018,,53.16999817,22.89999962,5316.999817,23.5,54.38
35,CNA US 08/17/18 C28 Equity,2/5/2018,,50.33000183,20.0,5033.000183,20.8,54.51
36,CNA US 08/17/18 C28 Equity,2/6/2018,,50.02999878,18.89999962,5002.999878,21.11,66.65
37,CNA US 08/17/18 C28 Equity,2/7/2018,,50.15000153,19.29999924,5015.000153,20.8,59.16
38,CNA US 08/17/18 C28 Equity,2/8/2018,,48.61999893,18.29999924,4861.999893,20.4,73.53
39,CNA US 08/17/18 C28 Equity,2/9/2018,,49.31999969,17.79999924,4931.999969,21.0,74.18
40,CNA US 08/17/18 C28 Equity,2/12/2018,,51.40999985,20.79999924,5140.9999849999995,22.4,69.94
41,CNA US 08/17/18 C28 Equity,2/13/2018,,52.11000061,21.79999924,5211.000061,22.4,56.59
42,CNA US 08/17/18 C28 Equity,2/14/2018,,52.22000122,22.0,5222.000122,22.5,55.43
43,CNA US 08/17/18 C28 Equity,2/15/2018,,53.45000076,23.10000038,5345.000076,23.71,56.65
